id,target
54273,23150.78222414726
54274,19033.453584223447
54275,26677.575734060207
54276,61582.62791708178
54277,37399.412174539415
54278,89818.33818436014
54279,47044.20453346123
54280,29925.850878971567
54281,39059.26091490363
54282,54391.0521412186
54283,41250.24537553762
54284,13982.661144615226
54285,49169.79306207773
54286,46557.32734040358
54287,49193.11837040619
54288,87503.19309095836
54289,87296.74848878015
54290,29761.23417153813
54291,14729.112235563507
54292,77105.22764935132
54293,40416.72212765006
54294,68032.60289409275
54295,42810.36359216866
54296,69379.128251898
54297,19197.909418256677
54298,16613.855802910974
54299,20138.3761906632
54300,41606.345578399036
54301,70238.80826065635
54302,52550.22357388258
54303,63400.11676828134
54304,47074.582284626784
54305,64762.329554272685
54306,26586.91997588543
54307,36521.5662014019
54308,9827.686078538622
54309,26589.591334056917
54310,15879.9188078971
54311,63935.1139722118
54312,14573.187073664218
54313,19219.936034204442
54314,64230.49263691803
54315,89658.71734786774
54316,24308.407363717262
54317,42712.57735171898
54318,50911.88500864595
54319,11322.518747471555
54320,61529.91447446072
54321,45728.23144071647
54322,12334.10413800293
54323,34693.3681424653
54324,66767.97532430223
54325,78601.53601865144
54326,17859.735906200327
54327,73349.67812006881
54328,24453.642716193284
54329,40202.25102099276
54330,21689.63704038754
54331,59274.29324157308
54332,15148.947078837105
54333,67109.66653472374
54334,45103.35786919394
54335,33001.30291724672
54336,22965.714659615318
54337,11773.541715980633
54338,60319.82480613726
54339,123097.02235577491
54340,12488.897341743306
54341,95489.30155960895
54342,62434.78897327193
54343,24272.755373987766
54344,98783.39635889282
54345,15603.900757036978
54346,57584.42449365131
54347,12517.520751031943
54348,27835.628758357576
54349,26696.34459938815
54350,97995.0180562072
54351,19755.716998367916
54352,38044.3607746747
54353,62290.24081405557
54354,35773.29934431471
54355,13899.362773833516
54356,56494.8238879147
54357,62197.362265762546
54358,60396.47798860205
54359,11702.938221007127
54360,40127.43079280643
54361,67819.59684849001
54362,82250.81053581022
54363,73636.95323722005
54364,20710.678566277526
54365,24933.228322866704
54366,64789.38845753566
54367,22714.07370622034
54368,28002.53975644828
54369,26568.238815525197
54370,25797.416762589124
54371,39104.2325488246
54372,33571.302680116096
54373,121666.06245986302
54374,23165.563068639585
54375,60185.26670861881
54376,23649.363922047676
54377,44682.41002234147
54378,28437.004581123154
54379,18855.15573663346
54380,9791.436089545428
54381,112734.19212485872
54382,13472.524593976274
54383,76506.72004903416
54384,22948.469939998195
54385,23513.646333246477
54386,12348.201144473302
54387,25523.304561313085
54388,86723.1348533137
54389,8422.452264700263
54390,74360.10533467258
54391,10727.828689304704
54392,26809.65254506784
54393,1208.377316383461
54394,16628.36729033374
54395,36862.602844991685
54396,68739.77123344441
54397,60026.57654990511
54398,37278.53652379045
54399,58903.663776672845
54400,119663.39682640349
54401,48015.81594551555
54402,21463.400241121304
54403,76915.8945311776
54404,22135.441737137688
54405,15994.640736279134
54406,71015.58951157286
54407,11191.688103010798
54408,77024.8086458131
54409,22809.95396453321
54410,51305.11329564357
54411,16030.68817006644
54412,55855.134039148455
54413,40249.01579502208
54414,31495.391077095042
54415,18791.51238714379
54416,80426.35083410119
54417,16205.0801868247
54418,23030.69912669463
54419,15839.677392792819
54420,78362.69396716922
54421,14687.423765684607
54422,35900.21978955271
54423,20385.82833039301
54424,37643.68767821295
54425,27440.582986262172
54426,23015.155003109405
54427,12163.219797611446
54428,10986.141687558496
54429,12540.4339859049
54430,12893.234449447902
54431,10090.359423088712
54432,14740.830315080078
54433,74023.23678233445
54434,44269.518796045726
54435,21882.78439710497
54436,35345.24602082311
54437,12868.925049204734
54438,58271.712581822314
54439,34740.85195515656
54440,35989.61722378218
54441,30169.155648122058
54442,44742.84612230167
54443,28999.183445292703
54444,14824.178417040386
54445,38808.02695488063
54446,28007.983153952184
54447,31695.210510545727
54448,28793.889742561925
54449,29695.827616411247
54450,32156.020020685184
54451,121599.44585892513
54452,7897.570782769776
54453,19843.166339463045
54454,32129.31965706716
54455,9933.852341399534
54456,39554.302248132146
54457,48332.282910850496
54458,18618.682225155782
54459,45579.702117701105
54460,73677.32073775431
54461,15148.983434909554
54462,45298.59470144821
54463,68007.1544194255
54464,20910.384619053675
54465,54561.24981400531
54466,50829.61901076172
54467,42159.3457594965
54468,17360.699817108398
54469,31334.22408002616
54470,16820.728835782957
54471,51403.28111298234
54472,28825.52224502028
54473,27215.68498925342
54474,79435.75907717196
54475,40718.44126719398
54476,24764.742594778647
54477,32452.20972299146
54478,41101.224895046886
54479,28460.255458443527
54480,21120.518343932777
54481,14046.023206948477
54482,36489.82393868418
54483,52693.852496706684
54484,16257.7589566386
54485,98377.27470267509
54486,20377.08882812298
54487,43646.30120294141
54488,10815.974404594837
54489,21513.9689144957
54490,20948.608341677398
54491,11915.65657752689
54492,45711.69618984053
54493,111953.4519305459
54494,21462.084365473347
54495,57771.54766225716
54496,25938.894658823978
54497,50883.381899930486
54498,69877.51598909344
54499,35460.601110708914
54500,37776.33406486497
54501,44523.18990830784
54502,22466.59154214034
54503,63390.9982780587
54504,28396.785065477696
54505,32474.545175834348
54506,45119.12284879988
54507,64413.759630279375
54508,26515.531279229363
54509,29279.851567575275
54510,38896.4443344679
54511,26116.37296252998
54512,50171.93100022354
54513,29055.482671432237
54514,16590.12276977086
54515,8433.597777690667
54516,37262.95237776054
54517,9666.357373409079
54518,47026.266525132574
54519,20311.605669475848
54520,24194.786320361138
54521,39492.7812853197
54522,42722.77890647516
54523,45716.033177589474
54524,50479.55913139206
54525,19963.43938401505
54526,73211.37070676718
54527,112099.96573210115
54528,45829.391725230635
54529,50274.82662366027
54530,23037.968219978702
54531,30339.460787563432
54532,97929.46090524687
54533,10614.76500943058
54534,26910.332599707268
54535,68304.83796903936
54536,9428.469853259234
54537,57867.338245907835
54538,41077.3468581757
54539,22843.538999655742
54540,11962.766810491523
54541,21144.010873693456
54542,142734.33707938946
54543,27748.75366399472
54544,29153.920286793098
54545,9335.887073852064
54546,18851.216113520113
54547,28360.54139384235
54548,238538.90637498806
54549,20023.28315642442
54550,16697.22647047246
54551,12062.954686135576
54552,50145.56660630522
54553,50715.247110236676
54554,16333.89672667894
54555,52998.53855704152
54556,48172.25524188721
54557,8960.173375436103
54558,74590.44884279146
54559,28680.91957443498
54560,10625.087448639419
54561,37391.052567473205
54562,73459.91928525514
54563,11320.204169782077
54564,11714.410912407451
54565,20851.170413775104
54566,14687.423765684607
54567,77689.5262172622
54568,39565.70760354892
54569,10308.381970529552
54570,45493.38056873665
54571,62701.79850595172
54572,60134.16546158525
54573,29432.396419790377
54574,70477.92912125631
54575,46684.27961768986
54576,9335.887073852064
54577,46081.19300781135
54578,18217.62541583848
54579,59163.60667076934
54580,12514.506006350755
54581,13645.354879999935
54582,66729.91040193886
54583,56918.19949988534
54584,62227.69746712367
54585,45637.61436840719
54586,31473.430573523583
54587,55298.63929973199
54588,42020.63148453166
54589,33893.158858637216
54590,60960.09622977139
54591,18415.51517807812
54592,22322.118556293975
54593,36627.469521888626
54594,87787.20006909997
54595,34295.88016875631
54596,23621.81765927106
54597,44673.63240923568
54598,27037.536956357577
54599,94914.58049072124
54600,14748.039907688935
54601,69672.91435976102
54602,53000.735467870065
54603,71528.68282370035
54604,43655.90086844185
54605,16737.160917403155
54606,11457.153988700247
54607,37274.555609156676
54608,59298.251568426414
54609,49710.89847375972
54610,10937.942042814204
54611,29617.97831253897
54612,69836.40192531046
54613,20296.616147374178
54614,12377.685356855869
54615,16830.36542629481
54616,31328.562010849735
54617,63358.321124961556
54618,44225.99731838263
54619,9995.377776295996
54620,13888.47524515085
54621,12439.516768385918
54622,32474.545175834348
54623,52192.98031024342
54624,24710.078046724826
54625,22788.598019464054
54626,30177.402279009246
54627,40806.86093106346
54628,28694.035270897624
54629,19029.40913737122
54630,18318.39376623558
54631,43267.725143648044
54632,286738.3408871611
54633,13461.299321810098
54634,220215.85611066257
54635,61989.99421856613
54636,19040.022726936288
54637,37045.29098044388
54638,78579.03075916886
54639,34770.4902316635
54640,46144.461675039565
54641,31230.697457683204
54642,29307.378186259608
54643,22441.4487727571
54644,13951.101570269802
54645,50166.96905405786
54646,24427.410839555767
54647,54070.599527962055
54648,16257.7589566386
54649,49348.71720920017
54650,137006.81953217767
54651,10900.524194157608
54652,7246.632585491423
54653,43897.18316174814
54654,54145.661314338664
54655,33155.23380019725
54656,16205.467363779082
54657,62974.84867771942
54658,85886.11087739468
54659,24194.51006814356
54660,68813.87087763204
54661,19538.189751775597
54662,15495.491110125771
54663,28217.934569595516
54664,37960.70456534317
54665,29200.41403294601
54666,50196.89094412602
54667,47577.06176241796
54668,25699.61624115751
54669,94378.76091176961
54670,35438.16690759034
54671,30037.26053697702
54672,44692.5263840532
54673,35594.603230506866
54674,29092.861668978712
54675,17310.134562037012
54676,16601.567341461832
54677,80149.79461392088
54678,97643.304754108
54679,37291.29622483326
54680,11083.766673512993
54681,89819.99811083869
54682,40925.98167178268
54683,44784.75996429158
54684,14824.178417040386
54685,51509.66793508309
54686,20388.2775753925
54687,12179.954319819253
54688,30368.0137505057
54689,14117.0292678762
54690,85278.53036382285
54691,24042.127579036613
54692,23904.397109038964
54693,22416.253991816793
54694,36076.86084017058
54695,27710.995821040684
54696,13262.791395490136
54697,89277.77660156063
54698,72826.49963597463
54699,93727.29265862882
54700,76097.49613137636
54701,60408.809255387394
54702,25296.615539459523
54703,39740.707715787874
54704,24694.986476337086
54705,12582.574434100336
54706,48530.23414819563
54707,105035.21938847183
54708,49719.15215138232
54709,56572.33744897965
54710,76042.5330037392
54711,66598.23471593598
54712,13332.650338064217
54713,14036.578684760834
54714,65711.89071261858
54715,39117.83042389567
54716,54003.08157917567
54717,16012.731611739619
54718,14117.0292678762
54719,20326.697526819826
54720,34649.46817435827
54721,38576.92148553497
54722,9510.34568102653
54723,46356.12196547171
54724,14633.440517535577
54725,43385.686948006805
54726,71802.48931199916
54727,19547.654770029778
54728,6331.3033763573185
54729,22395.262389707477
54730,39219.51285571296
54731,11058.648053082405
54732,32679.191546630616
54733,15544.96080428577
54734,24738.09540102781
54735,26906.337412066823
54736,14820.070836619894
54737,23515.895289987267
54738,47741.19612644001
54739,87122.04792523645
54740,-2358.158204284569
54741,30839.4428367339
54742,9840.561766636352
54743,54395.861716998224
54744,20550.315488627228
54745,36071.43224018335
54746,38487.141452230346
54747,43166.573735354155
54748,10835.966440092272
54749,11580.626356317514
54750,49296.904033780476
54751,41312.45728522693
54752,27604.281291691117
54753,13956.743128649134
54754,15126.042495335294
54755,28217.934569595516
54756,14803.571519650057
54757,25628.03593171226
54758,11250.312933307505
54759,12124.865630154269
54760,11787.611666323108
54761,14055.251101100284
54762,39861.50197185941
54763,21998.888998123428
54764,74399.49059109742
54765,40667.50928006564
54766,27730.446672588685
54767,13160.991540214249
54768,78601.53601865144
54769,78956.40690120817
54770,21766.98821359057
54771,52319.569195626274
54772,9035.996409427153
54773,13043.69390127213
54774,10323.901826273477
54775,34898.70581285744
54776,56381.03075240265
54777,13353.081385400326
54778,129049.46704764415
54779,34318.820670647416
54780,11842.238069203364
54781,67013.54366822143
54782,19448.452336432987
54783,60408.809255387394
54784,23836.85118549051
54785,36824.19866691548
54786,55548.37528552751
54787,14993.135463117478
54788,12795.18132317756
54789,8343.631326978442
54790,42102.3453304509
54791,52974.904908258366
54792,26578.14702373787
54793,25656.908791030863
54794,9010.273777860524
54795,75924.75986060264
54796,68653.44608719945
54797,23533.204038235737
54798,42951.38129827382
54799,74202.42512464548
54800,29971.99206059219
54801,25584.13004091907
54802,11607.286021046888
54803,50612.23046930687
54804,9763.191633702925
54805,29915.90165734884
54806,59512.63032108816
54807,23205.778858498325
54808,45685.65534758322
54809,50629.50438357272
54810,38017.5852654349
54811,14163.26724403031
54812,16993.880611669276
54813,23780.87034603888
54814,29086.767710554373
54815,38731.60076840665
54816,14332.479969122809
54817,53337.98999081219
54818,44567.609212214214
54819,17318.256926964725
54820,60509.07193592939
54821,17871.512102904773
54822,32559.06900259242
54823,38194.58315230604
54824,76469.86544161866
54825,35379.07761045698
54826,53431.37310880573
54827,50398.94784631531
54828,31156.13059256428
54829,47517.10839063171
54830,13613.03085172286
54831,23639.92176584406
54832,79210.0228562988
54833,22280.13634542909
54834,30021.18929543006
54835,22928.361839073237
54836,46294.67993049901
54837,15956.01529686404
54838,13363.40545257828
54839,18799.377026127426
54840,61560.10529508353
54841,44580.406027286874
54842,113705.51091312348
54843,44995.58292933153
54844,75298.69975416311
54845,50274.82662366027
54846,36522.17169920056
54847,11024.47586191803
54848,11640.821153755984
54849,47338.41427341039
54850,31439.09464770134
54851,69949.22107341218
54852,15832.420955930216
54853,71617.23668082434
54854,43409.410029191546
54855,7482.60965069733
